article_anchor	finding_ids	evidence_paths	confidence	screenshot_ids	next_step_ids	limitations
01-F001	01-F001	.artifacts/branch-trust-audit/01-shared-ui/receipts/V18-explorer-generator-parity.json;.artifacts/branch-trust-audit/01-shared-ui/receipts/V18-explorer-generator-parity.diff	C2	S06	N18	Static parity proves stale generated evidence, not a GPUI runtime defect.; The current generator reads a ledger outside lane ownership; no source was rewritten.
01-F002	01-F002	.artifacts/branch-trust-audit/01-shared-ui/receipts/V05-theme.json;.artifacts/branch-trust-audit/01-shared-ui/receipts/V08-list-item.json;.artifacts/branch-trust-audit/01-shared-ui/receipts/V04-design-contract.json	C3	S01;S02	N15	Unit tests do not prove hover republishing after real pointer parking and keyboard navigation.; Screenshots cannot prove input routing.
01-F003	01-F003	.artifacts/branch-trust-audit/01-shared-ui/receipts/V06b-app-layout-projection-bin.json	C3	S03	N04	The tests do not execute live getElements with private canaries.; Renderer/collector parity and duplicate-ID checks still require manager runtime evidence.
01-F004	01-F004	.artifacts/branch-trust-audit/01-shared-ui/receipts/V10-form-fields.json;.artifacts/branch-trust-audit/01-shared-ui/receipts/V11-shortcut-recorder.json;.artifacts/branch-trust-audit/01-shared-ui/receipts/V15-toast.json	C3	S04	N16	No real accessibility traversal or host focus restoration was run in this lane.
01-F005	01-F005	.artifacts/branch-trust-audit/01-shared-ui/receipts/V12-inline-popup.json;.artifacts/branch-trust-audit/01-shared-ui/receipts/V09-inline-dropdown.json	C3	S05	N08	macOS child-window attachment and key-window behavior were not crossed.; Actual callers live partly outside this lane.
01-F006	01-F006	.artifacts/branch-trust-audit/01-shared-ui/receipts/V14-conversation-actions.json;.artifacts/branch-trust-audit/01-shared-ui/receipts/V13-info-state.json;.artifacts/branch-trust-audit/01-shared-ui/receipts/V13b-info-state-semantic-bin.json	C3	S03;S06	N09	Tests cannot prove every host installs every advertised handler.; Conversation runtime behavior belongs to core and AI lanes.
01-F007	01-F007	.artifacts/branch-trust-audit/01-shared-ui/receipts/V06-app-layout-projection.json;.artifacts/branch-trust-audit/01-shared-ui/receipts/V07-prompt-collectors.json;.artifacts/branch-trust-audit/01-shared-ui/receipts/V06-V07-test-list.json	C1	S03	N04	Observed is the zero-test proof gap, not a demonstrated privacy leak.; Live getElements canary testing is manager-owned.
01-F008	01-F008	.artifacts/branch-trust-audit/01-shared-ui/receipts/V16-cargo-metadata.json;.artifacts/branch-trust-audit/01-shared-ui/receipts/V17-vendor-package.json	C1	S04	N17	Static review did not demonstrate an incorrect activation.; Upstream/local patch lineage was not established.
01-F009	01-F009	.artifacts/branch-trust-audit/01-shared-ui/receipts/V01c-explorer-node-test.json;.artifacts/branch-trust-audit/01-shared-ui/receipts/V02-explorer-browser-smoke.json	C2	S06	N18	Browser evidence is not GPUI/AppKit proof.; The package-plan bun command was invalid for this node:test file; Node was required.
02-F001	02-F001	.artifacts/branch-trust-audit/02-core-surfaces/receipts/V02-actions-runtime-paths.json;.artifacts/branch-trust-audit/02-core-surfaces/receipts/V02-actions-runtime-paths.stdout.log	C3	S02-01	N08	C3 covers the GPUI/model seam, not native pointer, shortcut, or automation dispatch.
